what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1427907053595
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1427907053596
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1427907053597
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1427907053597
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1427907053598
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1427907053598
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1427907053599
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1427907053600
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1427907053601
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1427907053602
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1427907053602
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1427907053603
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1427907053603
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1427907053604
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1427907053604
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1427907053605
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1427907053606
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1427907053606
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1427907053607
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1427907053608
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1427907053609
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1427907053610
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1427907053610
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1427907053611
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1427907053612
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1427907053612
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1427907053612
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1427907053623
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1427907053623
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1427907053624
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1427907053624
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1427907053625
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1427907053626
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1427907053627
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1427907053660
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1427907053661
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1427907053661
os,sysinfo,,,"win32",1427907053664
arch,sysinfo,,,"x86",1427907053664
ws,sysinfo,,,"win32",1427907053664
locale,sysinfo,,,"pl_PL",1427907053664
processors,sysinfo,,,"8",1427907053664
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427907053664
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1427907053664
java.specification.name,sysinfo,,,"Java Platform API Specification",1427907053664
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427907053664
java.specification.version,sysinfo,,,"1.6",1427907053664
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1427907053664
java.version,sysinfo,,,"1.6.0_23",1427907053664
java.vm.info,sysinfo,,,"mixed mode",1427907053664
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1427907053664
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427907053664
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427907053664
java.vm.specification.version,sysinfo,,,"1.0",1427907053664
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1427907053664
java.vm.version,sysinfo,,,"19.0-b09",1427907053664
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1427907053985
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1427907054079
