what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882455606
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1426882457931
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1426882457931
executed,command,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project.commands.bspEditor",1426882459937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882460332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882474220
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426882474973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882478940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882846148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426882846969
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426882848057
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426882850032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426882992280
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426882997600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883001820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883011300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883148994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883156018
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426883158032
