what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419781714383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419781719457
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1419781721132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419781725465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419781728147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419781732028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419781734442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419781741386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419782398378
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1419782400755
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1419782401848
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1419782402087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419782402751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419782403305
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x10104c80, --id=0x0, --timestamp=1419689320, /cygdrive/c/Users/Krzysiek/NIOSworkspace/Szyfrator_NET/Szyfrator_NET.elf] return code: 4, 'other error'",1419782413325
error,log,,,"Downloading ELF Process failed",1419782413329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419782413343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419782414910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419782416532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419782417537
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1419782417875
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419782418712
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1419782422662
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1419782422665
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1419782422665
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1419782422665
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1419782422665
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1419782422667
