what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426943409621
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426943428726
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1426943438430
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426943441582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426943463607
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1426943466351
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426943468334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943489011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426943493959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943494891
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1426943497986
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1426943498371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426943501943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943502509
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1426943506503
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1426943506677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943517099
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1426943575086
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1426943575271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943575844
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1426943577271
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1426943577702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943591204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943610614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943612655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943684353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1426943696716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943698184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1426943707435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943708142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1426943711233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943711830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1426943715845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943716792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943725237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943731075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943733797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1426943737635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426943738694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1426943742066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943744748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943747256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426943755253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943810188
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426943813273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943816480
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426943816483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943817923
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426943824316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943826693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943828400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426943829362
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426943835852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426943842727
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426943872061
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426943875318
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426943882920
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426943915420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426945993076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426945998741
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426946006555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426946010055
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426946010059
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426946018160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426947712200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426947724662
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426947744165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1426947804098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1426947804109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1426947805310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1426947810626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1426947816293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426947816916
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426947824332
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426947827505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426947831006
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426947835268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426949894169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426949896855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950153560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1426950153623
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426950155589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426950208847
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426950215186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950218027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950218615
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1426950218631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950222378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950223425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950223997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950224620
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1426950226312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950262980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950367974
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1426950380773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426950392317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426950393535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950410621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426950411926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1426950430394
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1427539897981
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1427539897981
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1427539897981
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1427539897981
