what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425136302250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425136302430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425136302430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425136303796
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425136307470
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425136308009
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1425136312710
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425136312983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425136322384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425136323400
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x10104c80, --id=0x0, --timestamp=1419689320, /cygdrive/c/Users/Krzysiek/NIOSworkspace/Szyfrator_NET/Szyfrator_NET.elf] return code: 4, 'other error'",1425136324372
error,log,,,"Downloading ELF Process failed",1425136324377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425136326224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425136349117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140015890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140017191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140017285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140019763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140025669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425140039486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140040220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140043971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140045932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140860767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140862790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140877251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140877821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140880922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425140882993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143046699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143049808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143070632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425143089346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143091208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143259107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425143267116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143267491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143893781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143894851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143895628
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1425143896628
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425143898325
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1425143900575
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1425143900606
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1425143900606
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1425143900606
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1425143900653
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1425143900653
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1425143900653
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1425143900653
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1425143900653
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1425143900747
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1425143900747
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1425143900747
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1425143900747
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1425145512068
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1425145512084
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1425145512099
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1425145512131
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1425145512146
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1425145512178
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1425145512193
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1425145512193
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1425145512193
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1425145512209
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1425145512318
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1425145512349
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1425145512381
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1425145512396
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1425145512396
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1425145512428
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1425145512443
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1425145512491
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1425145512495
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1425145512507
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1425145512525
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1425145512540
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1425145512572
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1425145512603
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1425145512619
