what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427547565908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427547580032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427547598296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427547603000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552335046
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427552357801
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1427552366027
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427552378832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552403981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552414769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552436542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552439630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552440053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552441104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552442927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1427552442959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552448968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552449585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552450464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552485850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552549100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552577213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552580209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552591900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552593621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552595689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552597603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552602382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552605170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552609705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552611624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552614459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552619994
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1427552629861
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427552641364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427552653023
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1427552671517
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427552674485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427552705815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552718390
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1427552734702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427552737970
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427552737974
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1427552745654
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427553006582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427553011133
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1427553019964
